host_response_time,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_score_mean,review_tier
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,157.0,5,50,5.0,50.0,16,46,76,173,1,1,4.71,4.88,4.82,4.78,4.9,4.69,4.796666666666668,Alta (4.5–4.8]
within an hour,True,True,Universidad,Entire rental unit,Entire home/apt,2,1.0,1.0,3.0,143.0,5,50,5.0,50.0,10,40,66,53,4,1,4.71,4.9,4.87,4.81,4.88,4.59,4.793333333333333,Alta (4.5–4.8]
within an hour,True,True,Justicia,Private room in rental unit,Private room,4,1.5,1.0,2.0,65.0,1,30,1.0,30.0,4,16,34,249,41,4,4.78,4.46,4.8,4.86,4.97,4.6,4.745,Alta (4.5–4.8]
within an hour,True,True,Universidad,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,116.0,30,360,30.0,1125.0,3,3,30,36,1,0,4.49,4.42,4.43,4.4,4.6,4.09,4.405,Media (4.0–4.5]
within an hour,True,True,Universidad,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,79.0,30,360,28.6,1125.0,0,12,42,31,2,0,4.65,4.55,4.8,4.71,4.87,4.1,4.613333333333333,Alta (4.5–4.8]
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,6,1.0,3.0,5.0,300.0,3,180,2.3,180.0,30,60,90,133,15,0,4.64,4.43,4.87,4.85,4.84,4.48,4.685,Alta (4.5–4.8]
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,166.0,3,365,2.3,365.0,15,33,60,233,21,0,4.81,4.65,4.88,4.92,4.92,4.68,4.81,Excelente (>4.8)
within an hour,True,True,Palacio,Private room in rental unit,Private room,2,1.0,1.0,2.0,45.0,1,365,1.0,365.0,10,10,10,402,33,1,4.85,4.82,4.9,4.9,4.95,4.74,4.859999999999999,Excelente (>4.8)
within a few hours,True,True,Piovera,Private room in chalet,Private room,2,1.0,1.0,2.0,90.0,1,1125,1.0,1125.0,8,34,64,52,9,0,4.8,4.94,4.9,4.82,4.84,4.8,4.8500000000000005,Excelente (>4.8)
within an hour,True,True,Universidad,Private room in rental unit,Private room,2,1.0,1.0,1.0,60.0,2,365,2.0,365.0,0,0,0,72,26,1,4.83,4.8,4.87,4.85,4.96,4.69,4.833333333333334,Excelente (>4.8)
within an hour,True,True,Embajadores,Private room in rental unit,Private room,2,1.0,1.0,1.0,120.0,3,30,3.0,30.0,1,9,34,223,25,0,4.87,4.91,4.98,4.99,4.99,4.82,4.926666666666667,Excelente (>4.8)
within a day,True,True,Cortes,Entire rental unit,Entire home/apt,5,2.0,2.0,2.0,160.0,5,365,3.0,365.0,2,2,2,107,4,0,4.85,4.82,4.94,4.9,4.97,4.84,4.886666666666666,Excelente (>4.8)
within an hour,True,True,Universidad,Entire condo,Entire home/apt,2,1.0,0.0,1.0,98.0,15,365,14.7,365.0,1,30,44,374,25,1,4.97,4.97,4.96,4.95,4.94,4.9,4.948333333333333,Excelente (>4.8)
within an hour,True,True,Canillas,Private room in rental unit,Private room,2,1.0,1.0,1.0,68.0,2,365,2.0,365.0,8,34,63,234,31,2,4.96,4.99,4.99,4.96,4.81,4.93,4.9399999999999995,Excelente (>4.8)
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,4,2.0,2.0,5.0,117.0,5,18,7.8,18.0,10,22,42,79,34,2,4.52,4.39,4.79,4.72,4.95,4.48,4.641666666666667,Alta (4.5–4.8]
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,3,0.5,1.0,2.0,58.0,10,1125,9.9,1125.0,0,3,26,563,15,0,4.45,4.18,4.51,4.63,4.48,4.35,4.433333333333334,Media (4.0–4.5]
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,70.0,2,18,2.0,18.0,3,14,29,97,45,0,4.59,4.62,4.62,4.74,4.88,4.54,4.665,Alta (4.5–4.8]
within a few hours,True,False,Sol,Entire rental unit,Entire home/apt,10,1.0,3.0,8.0,138.0,3,300,2.8,300.0,13,33,63,224,22,1,4.63,4.71,4.83,4.8,4.97,4.55,4.748333333333333,Alta (4.5–4.8]
within a few hours,True,True,Chopera,Entire condo,Entire home/apt,2,1.0,1.0,1.0,100.0,4,30,4.0,30.0,3,19,46,88,28,2,4.89,4.92,4.92,4.9,4.83,4.76,4.87,Excelente (>4.8)
within an hour,True,True,Valdefuentes,Entire loft,Entire home/apt,4,1.5,4.0,4.0,288.0,3,60,2.3,1125.0,17,24,54,150,13,0,4.79,4.87,4.89,4.85,4.25,4.72,4.728333333333333,Alta (4.5–4.8]
within an hour,True,False,Universidad,Entire loft,Entire home/apt,2,1.0,1.0,1.0,144.0,2,20,2.0,20.0,6,30,53,682,39,0,4.93,4.76,4.99,4.99,4.97,4.84,4.913333333333333,Excelente (>4.8)
within an hour,True,True,Valdefuentes,Entire loft,Entire home/apt,4,1.0,2.0,3.0,114.0,2,120,2.0,1125.0,11,27,46,163,21,0,4.78,4.91,4.88,4.89,4.32,4.64,4.736666666666667,Alta (4.5–4.8]
